E,N,H,Rho1,Rho2,Rho3,Rho4,Rho6,Gamma
14.05287,52.40124668,56.99599838,65.92054026,60.75650277,75.44891766,128.5610227,143.2608348,1.23055235
14.05290167,52.40124334,56.87200165,64.82242019,72.31422072,99.95787713,190.8750159,216.7379473,1.231526802
14.05293833,52.40123835,56.82600021,72.09197477,91.8222428,140.1074501,276.2955519,294.5712223,1.222391247
14.05297667,52.40123167,56.70999908,87.36401457,122.5122407,201.7324972,359.5601229,359.1911743,1.214025736
14.05301667,52.40122668,56.57400131,110.2830577,166.0673625,258.6546073,425.8872793,415.2122857,1.200743904
14.05305833,52.40122166,56.45700073,139.8963667,204.0974968,304.8533768,480.2008229,436.6323623,1.185390706
14.05310167,52.40121501,56.36899948,165.2146065,235.6177337,344.4843306,491.9778887,407.7788963,1.167253319
14.05314667,52.40120999,56.25299835,187.9874902,261.7945025,360.3760748,449.9348145,352.9640728,1.153256267
14.053195,52.40120335,56.18799973,205.1434333,272.4624811,339.4190448,393.9474243,290.2507652,1.15053589
14.05324334,52.40119832,56.11299896,212.5042303,260.7061266,303.2224822,337.2862384,216.1524005,1.151010612
14.05329167,52.40119168,56.11700058,209.0700934,240.3346474,256.3222586,270.3107442,153.1345999,1.15355431
14.05334,52.40118666,56.17900085,200.7051577,210.201475,198.7470863,211.9787949,111.8708686,1.164283624
14.05338667,52.40118001,56.29199982,182.6596001,171.2213523,145.7665847,182.9852905,90.52239125,1.177879474
14.05343334,52.40117499,56.41699982,157.6903362,133.6607477,109.210991,168.1394406,83.35935914,1.190984456
14.05348167,52.40116835,56.57099915,132.6498253,106.0929627,90.21530779,159.4750016,89.73951845,1.208582829
14.05352833,52.40116332,56.73699951,111.4645949,90.73006073,88.31341913,173.3110961,107.2914668,1.222946891
14.05357667,52.40115668,56.90000153,98.08124265,89.50365953,101.0889055,204.7388905,128.7813062,1.242700432
14.05362334,52.40115166,57.09299851,97.58102265,102.584672,127.1951929,235.6091389,151.6042029,1.258068838
14.05367167,52.40114501,57.26800156,110.5674915,126.4992085,154.1391861,271.3479458,178.5365598,1.25722341
14.05371833,52.40113999,57.46300125,131.0255302,151.3766056,181.1860138,311.7540742,202.579947,1.256710701
14.053765,52.401135,57.63000107,153.9037089,176.8265895,210.0496563,328.4577846,214.4588654,1.25671897
14.05381167,52.40113001,57.80099869,176.7801539,202.0268259,234.4535682,322.9941556,214.3986811,1.24070724
14.05385833,52.40112333,57.97600174,197.5428583,219.4906255,243.3069255,312.6535663,205.2563337,1.222680131
14.053905,52.40111834,58.15800095,211.3820101,224.8297757,239.9001373,294.2177175,181.0869073,1.225717102
14.05395333,52.40111167,58.33599854,219.1230854,221.4431881,222.068682,268.4200917,149.365028,1.226281818
14.05400167,52.40110668,58.52299881,218.5090251,205.4115886,189.4672841,249.3835359,118.1793308,1.226758005
14.05405,52.40110165,58.70100021,206.1878623,177.3552799,149.2239554,224.9990931,94.54047847,1.240647609
14.0541,52.40109501,58.86899948,183.5906874,144.5635613,112.5919437,194.762931,74.40975358,1.25755274
14.05415167,52.40108999,59.04800034,155.1438557,112.6636152,83.76415016,165.198996,62.86500625,1.274814137
14.05420333,52.40108334,59.26200104,124.0873532,84.91244022,65.50016258,139.1412098,56.97695075,1.287932175
14.05425333,52.40107832,59.39199829,95.92943489,65.9742083,55.17244106,117.985765,58.4248294,1.299331544
14.05430333,52.40107168,59.50600052,76.67739485,54.71713436,49.80423008,118.0994732,58.65485578,1.310974957
14.05435167,52.40106665,59.62900162,65.46494003,48.41716112,46.25550739,132.0459251,74.22733436,1.314187921
14.05439833,52.40106166,59.65999985,60.21872304,46.75165221,45.89034739,157.9967897,99.12020222,1.294834911
14.054445,52.40105499,59.68899918,60.15216937,49.53611767,45.09030015,194.4713414,126.3755208,1.277847356
14.05449333,52.40105,59.71699905,65.69680169,51.74880274,45.99171284,231.9451945,156.9769148,1.267362883
14.05454167,52.40104501,59.76900101,75.10410758,56.97553172,48.44877687,288.5352233,188.0467295,1.24382828
14.05459167,52.40104001,59.77700043,86.80734083,64.36689969,54.07132908,332.557122,189.2131631,1.235366305
14.05464167,52.40103499,59.78699875,102.5342836,73.64729287,59.55201762,351.4160791,181.3635636,1.251079397
14.05469333,52.40103,59.77199936,122.1493682,82.07952965,71.06232417,359.8812171,177.663844,1.25589835
14.054745,52.40102501,59.76900101,144.2429464,98.4368968,85.07728465,398.1735056,161.813486,1.244485896
14.05479667,52.40101999,59.75899887,167.8999596,115.0631971,99.86941938,383.2288741,145.6871329,1.244893819
14.05484667,52.40101334,59.82500076,194.7235361,133.5794324,113.5793145,371.2798494,142.5916909,1.240872877
14.05489667,52.40100832,59.92100143,221.736584,150.73284,124.4809172,366.8415343,138.2520943,1.218375082
14.054945,52.40100333,60.06399918,245.6078089,163.7677463,129.9256228,357.9772143,127.1074894,1.198494751
14.05499333,52.40099665,60.1230011,257.3087529,168.7323404,132.0326649,321.1205831,122.0072796,1.194412179
14.05504167,52.40099166,60.17300034,263.553057,170.1300233,133.3567185,314.4641172,118.414314,1.194544094
14.05508833,52.40098667,60.2159996,262.8448023,166.6525078,133.6744501,311.483224,118.892775,1.193482182
14.055135,52.40098168,60.27999878,253.6917671,161.4372592,135.7989681,319.3006924,118.2044059,1.196581728
14.05518167,52.40097666,60.35200119,240.0950468,158.1793982,137.1604164,317.2413707,115.2295367,1.200681044
14.05522833,52.40097167,60.43500137,233.4274634,156.1240603,135.7709823,298.901903,110.8745161,1.198189409
14.05527667,52.40096499,60.49000168,225.5337995,151.8132983,131.7189966,272.2717074,105.3825084,1.187896437
14.055325,52.40096,60.52799988,215.136009,147.7812125,124.384973,250.2355656,97.76350065,1.181422487
14.05537334,52.40095501,60.56900024,208.0355974,139.6596227,115.1204332,219.5196838,92.01416805,1.185489704
14.05542,52.40094999,60.6269989,197.6209037,132.0717171,106.7652163,203.4776367,88.56267575,1.183537781
14.05546833,52.400945,60.65800095,184.4707073,122.1974299,99.76008847,204.7764866,85.63566742,1.180138739
14.055515,52.40094001,60.70399857,170.4967736,113.2506831,93.09198892,210.8923134,81.75384838,1.190800571
14.05556167,52.40093501,60.73199844,156.5509883,103.5529402,87.88886846,198.1804828,78.2828642,1.190532753
14.05560667,52.40092999,60.75099945,140.7657083,96.91397433,84.35604248,186.3961039,75.34624626,1.178553746
14.055655,52.40092335,60.79000092,129.4075015,89.53694313,80.15322389,172.9492081,72.7479344,1.179410125
14.05570333,52.40091833,60.80899811,119.3652501,83.98489684,77.25053958,154.0508262,70.91802817,1.178734113
14.05575167,52.40091333,60.84600067,110.7310533,80.72788002,75.16104106,135.1207937,70.36928423,1.173101384
14.0558,52.40090834,60.88299942,105.3768612,78.4821109,74.99428432,133.4408333,70.93390954,1.184382151
14.05584833,52.40090167,60.90599823,101.6430388,77.7635151,74.7367528,135.9029332,70.87311805,1.196897739
14.055895,52.40089499,60.90599823,98.55438964,77.45071135,75.24230365,140.1788835,69.67656493,1.198810835
14.05594167,52.40089,60.92100143,95.71701539,77.69409774,74.67037839,141.3720273,67.75977146,1.201493436
14.05599,52.40088501,60.95500183,93.36483726,76.78960722,73.75729839,143.1489329,65.39379751,1.204112373
14.05603667,52.40087999,60.94200134,90.14605149,75.8064997,71.85017508,138.1092286,62.63058486,1.206035509
14.05608333,52.40087334,60.92699814,87.40894715,74.47462178,69.6841161,131.5722594,60.93299435,1.204516722
14.05613167,52.40086667,60.90499878,84.93105683,73.32304769,68.05174453,123.0089607,61.04894461,1.212606152
14.05617833,52.40086168,60.90599823,82.92240142,72.99758125,68.69634339,122.294683,61.53618151,1.235046485
14.05622667,52.400855,60.85599899,83.2012243,74.78130487,70.51255911,117.6794831,63.43589176,1.249487389
14.05627333,52.40084833,60.83200073,86.57032611,77.7507733,73.028134,119.2915933,67.44308233,1.251997674
14.05632167,52.40084333,60.76300049,91.32550273,80.95160644,76.84542006,125.640969,72.60920848,1.255594687
14.05636834,52.40083666,60.75500107,97.802194,86.8092696,82.89056009,137.0039254,77.26660679,1.250594791
14.05641667,52.40083167,60.70700073,107.9840108,94.39320855,89.6580618,148.7758592,84.08052075,1.231275997
14.056465,52.40082668,60.67900085,119.7451095,103.1163632,95.31189154,180.7521091,90.87283295,1.212933556
14.05651167,52.40082,60.66500092,132.1116312,110.0766663,100.879224,199.7850046,106.076918,1.196068834
14.05656,52.40081501,60.63700104,143.8833906,118.0826585,110.1518502,216.526912,124.5294069,1.186329869
14.05660667,52.40080833,60.59600067,155.317444,127.3051937,117.4365396,235.3693258,163.1540437,1.188446683
14.056655,52.40080334,60.57799912,167.7561229,134.3454019,127.0373325,271.0383771,229.4098869,1.194125274
14.05670333,52.40079667,60.50099945,178.3003162,143.2934094,154.0211107,303.8177124,333.9852174,1.199424843
14.05675167,52.40079168,60.44800186,190.6937914,169.3841832,207.5800444,385.6546843,418.634317,1.19749229
14.05679834,52.40078665,60.38700104,214.2519449,212.7611019,272.975507,478.5581396,524.6823608,1.183830691
14.05684834,52.40078001,60.3390007,250.2356239,259.2972804,358.1730939,581.3230328,613.677815,1.162676478
14.05689833,52.40077334,60.23600006,285.8981548,317.3905434,454.4615146,667.4253617,653.4015863,1.139670333
14.05694833,52.40076834,60.15599823,326.745027,378.0671632,533.4593979,725.60986,631.8937556,1.117646716
14.05699667,52.40076167,60.0909996,366.9106616,421.7700683,572.0199759,739.2118567,610.1145823,1.106985008
14.05704667,52.40075668,60.04299927,394.5270214,438.3597722,580.1769843,740.9436038,535.0593447,1.099680019
14.05709667,52.40075165,59.99700165,404.0504678,444.5421663,560.4077459,703.898943,438.4863831,1.086394709
14.057145,52.40074666,59.98799896,404.51517,433.4552153,500.59815,646.8928668,351.9859344,1.082551946
14.05719334,52.40074167,59.97900009,394.0675053,400.8060317,420.3825825,599.6225423,278.5807589,1.08732302
14.05724,52.400735,59.98600006,370.7330287,354.9995778,334.4196513,550.1189201,206.7537984,1.089440065
14.05728667,52.40073001,59.98099899,339.7881361,308.9950121,256.6327269,481.515842,163.060433,1.087968779
14.05733333,52.40072502,59.97499847,306.9771691,257.3151426,179.6127037,441.6104464,144.2525145,1.101205222
14.05738,52.40071834,59.98099899,270.2289244,203.0089975,125.970326,431.9429434,142.7988161,1.117618535
14.05742667,52.40071335,59.98799896,230.4559124,162.2714706,98.57361972,432.6220223,146.6744255,1.121867154
14.057475,52.40070667,59.97900009,199.707442,140.8498168,103.3130803,446.3200222,166.7789519,1.131660519
14.05752167,52.40070168,59.95600128,181.4332362,133.0508409,109.9883017,474.8373091,189.2142469,1.151693063
14.05757,52.40069666,59.89400101,172.6544532,130.7162983,123.0861156,502.2513641,207.5065135,1.165717418
14.05761833,52.40069002,59.83000183,173.2479947,137.0989413,145.6684983,511.7508402,216.2578089,1.168747063
14.05766833,52.40068334,59.74000168,183.5733826,149.6615191,162.9803722,510.1818415,240.7149705,1.159271873
14.05771833,52.40067666,59.63299942,196.09867,157.3085162,166.0879751,488.3070577,246.1873746,1.13951996
14.05776833,52.40066999,59.51300049,204.4169493,158.9714707,181.5911932,468.7839152,238.8785496,1.121864959
14.05782167,52.400665,59.4070015,207.7172413,175.0578851,201.4599476,431.5004201,215.9249453,1.10124455
14.05787333,52.40065832,59.3030014,213.0618153,193.0318738,198.9774879,380.1275616,188.583633,1.078557369
14.057925,52.40065333,59.23799896,218.7227032,195.0865155,184.9187965,328.2897277,146.1480404,1.077694697
14.05797667,52.40064834,59.18700028,215.818189,186.8160296,164.6689704,286.5435551,114.7710072,1.090799811
14.05802667,52.40064335,59.18299866,205.4379301,173.7140465,135.784171,242.4951112,91.63123391,1.10214242
14.05807667,52.40064001,59.1780014,191.4073422,150.8301331,102.4015803,206.6990466,81.33717336,1.122944776
14.05812667,52.40063667,59.27199936,177.8034535,123.163504,83.89412935,189.4554885,76.89798193,1.150896054
14.058175,52.40063168,59.34299851,158.7325545,104.009604,80.39871675,169.7617286,75.88416151,1.173590548
14.058225,52.40062834,59.46500015,144.9198576,98.79357941,88.75844292,155.0819334,74.4606717,1.181312364
14.05827334,52.40062332,59.50400162,144.9766812,100.5693539,93.2928116,143.603717,74.00756567,1.180823901
14.05832167,52.40062002,59.64799881,155.9334998,97.06502388,97.42218207,135.0796458,74.06783427,1.17547327
14.05836833,52.40061668,59.76800156,158.5319845,96.08500857,98.78397824,128.4506245,74.63165059,1.167307381
14.05841667,52.40061334,59.89500046,165.7219117,98.19741275,93.12501053,134.6326271,73.69311988,1.163937144
14.05846667,52.40060835,60.00600052,172.5435872,92.9482077,82.31526087,134.5803455,72.91396083,1.174499731
14.05851667,52.40060501,60.11299896,165.6825846,85.76195842,75.33637577,137.999188,72.02780528,1.18022075
14.05856667,52.40060167,60.18099976,149.9862073,83.08093938,68.56957758,145.1630911,72.4466575,1.181712264
14.05861834,52.40059668,60.26800156,139.2481294,79.41729658,63.54072844,157.0891013,73.09969162,1.186556043
14.05866667,52.40059334,60.32899857,124.8604994,74.94959907,62.42223529,168.5944984,75.38686434,1.18243563
14.058715,52.40059001,60.40200043,112.3372677,74.04698933,61.8497514,195.5530043,78.39819364,1.170386852
14.05876333,52.40058832,60.47100067,107.0176628,74.54609028,61.33880988,216.1593707,82.42549783,1.176757038
14.05881167,52.40058502,60.5340004,105.2944701,75.52111139,61.54073922,237.6787834,82.67015076,1.196011465
14.05886,52.40058333,60.5870018,103.9516609,76.89374773,62.37840066,237.8313497,81.79342117,1.205143613
14.05890833,52.40057999,60.64599991,104.791918,78.55413419,62.9640124,229.8667261,82.06214097,1.217740166
14.058955,52.40057666,60.70999908,105.8494099,79.32151973,65.08874962,214.7285721,83.74616999,1.224549949
14.05900333,52.400575,60.78300095,107.9837807,80.61660702,70.37500422,206.1431023,85.89815966,1.214120889
14.05905,52.40057166,60.82099915,112.8815219,85.46562737,78.28503094,196.6434695,92.31971794,1.195119612
14.05909834,52.40057001,60.85900116,123.3954774,93.5030529,87.44504749,210.0897807,98.2470935,1.194345894
14.05914667,52.40056833,60.88899994,137.9873468,104.536463,96.90624389,217.1177068,100.1793537,1.195637738
14.059195,52.40056667,60.92499924,156.008661,118.7006839,105.3880067,216.0062328,98.61979727,1.198240527
14.059245,52.40056499,60.95000076,174.5831711,130.3829329,106.0867353,208.6122087,95.79387634,1.214146525
14.05929333,52.40056168,60.96799851,187.2733561,133.0709462,101.5847428,201.5321588,92.38240352,1.222455068
14.05934167,52.40056,61.00400162,188.4360235,129.9110943,95.74498568,187.6341008,93.38799511,1.214974314
14.05939167,52.40055666,61.04499817,182.1678007,123.713632,92.22019415,197.768953,97.38391549,1.209103321
14.05944,52.40055501,61.11000061,171.8750737,117.4437232,90.33996334,215.108167,102.134205,1.20366535
14.05948667,52.40055167,61.15800095,162.7214198,114.9811146,95.10891742,229.4696631,106.0154028,1.18453851
14.059535,52.40055002,61.22299957,158.4473128,118.7341896,103.3352748,240.3648916,105.6414821,1.177079161
14.05958333,52.40054668,61.28300095,161.6089283,125.031707,108.9116087,245.3530987,99.72070987,1.178292311
14.05963,52.40054499,61.37200165,168.6570947,128.3356944,107.4507618,228.7592023,91.5461532,1.173761465
14.05967667,52.40054166,61.45100021,170.3346664,124.7402848,101.6229607,204.118125,82.12815768,1.176084734
14.059725,52.40054,61.5019989,163.7934086,115.4159008,94.18100646,186.1059136,73.2359641,1.189679463
14.05977167,52.40053666,61.55899811,151.0740979,103.8933703,85.52894779,162.2726304,67.37446905,1.205801708
14.05982,52.40053333,61.64199829,135.0836267,91.11275438,80.88801937,141.0433546,63.93793392,1.227859137
14.05986833,52.40053167,61.70000076,116.7637115,81.25098448,82.47883548,125.8178222,62.69171546,1.248089461
14.05991667,52.40052999,61.74399948,105.4156788,78.0545079,88.41954785,119.8084301,65.30588614,1.25309308
14.059965,52.40052668,61.79299927,103.4520597,79.88833873,93.44493019,110.9860857,68.21533914,1.252382462
14.06001333,52.400525,61.83200073,109.8916226,83.90748115,98.60320298,112.0234315,69.98514535,1.244800921
14.06006,52.40052166,61.85100174,121.5447736,91.26571728,100.5126235,113.107296,71.91507503,1.229762894
14.06010833,52.40051832,61.85800171,137.5303188,97.27063515,99.11752867,119.0088615,72.11034196,1.217528969
14.06015667,52.40051498,61.81800079,150.1979551,99.08417717,94.3900651,117.957505,70.26426068,1.209518598
14.060205,52.40051168,61.78300095,154.5077692,98.04372273,88.4492379,118.4637725,67.57713118,1.198452969
14.060255,52.40050834,61.76599884,150.6593326,93.58746179,81.68426195,111.1162317,66.0693913,1.197463318
14.060305,52.40050666,61.74399948,139.6794507,86.29459611,75.94582598,107.6185688,64.15249294,1.205458708
14.06035334,52.40050332,61.72299957,123.2301166,79.50546183,70.67216441,102.2795692,63.80032274,1.209658785
14.0604,52.40050166,61.69800186,106.965865,74.11708459,66.40752916,105.5062859,63.83935981,1.215665354
14.060445,52.40049833,61.69800186,95.0043072,69.33225236,63.77731387,107.0638092,65.35054414,1.234863038
14.06049167,52.40049499,61.66400147,86.35783787,67.00260077,62.05386102,119.4194608,67.1816446,1.253983864
14.06053833,52.40049334,61.61999893,81.73260752,65.55423265,61.42010145,130.2179315,69.24317726,1.260727885
14.060585,52.40049,61.55899811,80.32628775,66.07478131,62.24582082,140.7974584,71.31502102,1.267957543
14.06063167,52.40048666,61.53099823,82.8149753,68.01919936,64.43796547,147.3755314,75.51162114,1.286483129
14.06067834,52.40048332,61.47600174,87.07122234,71.38290157,67.9841787,165.3209168,79.54164219,1.295551749
14.06072333,52.40047998,61.43600082,93.6822629,76.70870591,72.00177024,171.4085587,83.2671756,1.275822232
14.06077,52.40047668,61.36700058,102.6254651,83.92817875,76.59627837,177.4692874,87.63725097,1.258135789
14.06081833,52.40047334,61.30799866,114.2659049,90.92235242,82.08105281,179.2790411,92.73974017,1.247890612
14.06086667,52.40047,61.23400116,124.8170351,99.5630858,88.50386782,182.0681765,95.76576378,1.231314573
14.060915,52.40046832,61.18099976,136.594637,110.0517627,96.61064734,174.6950198,101.3566976,1.219547122
14.060965,52.40046501,61.12400055,150.8063569,120.7345486,106.7968983,186.9595987,106.7888475,1.222994041
14.06101667,52.40046167,61.05400085,165.6874236,131.3767898,113.5408729,189.5519085,113.0890223,1.223027766
14.06106667,52.40045834,60.98500061,179.7688197,138.5479544,120.6946365,192.3731205,121.1642602,1.214409452
14.06111833,52.40045665,60.95600128,187.4749537,143.5585784,126.6061032,189.7015561,136.5255608,1.204790957
14.06116833,52.40045335,60.92699814,190.3735621,144.6307873,132.9242834,191.9671413,156.0278642,1.199616323
14.06121833,52.40045166,60.84000015,186.8339708,146.0662286,146.6885993,180.2980416,185.5774643,1.194901525
14.061265,52.40045166,60.77000046,184.0332171,154.1915306,176.9470229,182.9676355,219.0797422,1.186970908
14.06131167,52.40045335,60.73600006,184.5617239,172.9546238,213.0101789,197.9065947,258.3264031,1.188614845
14.06135667,52.40045834,60.67699814,197.9266128,198.9778113,256.8919434,230.2547537,296.9678509,1.196830532
14.0614,52.40046667,60.59899902,223.3394352,235.4988981,307.1696887,262.3028595,336.4587706,1.205081664
14.06144167,52.40047833,60.55699921,258.9735898,276.3343496,350.529133,303.8782231,376.3713764,1.214807198
14.06147833,52.40049334,60.56200028,293.3832817,310.0806154,389.9195836,367.0129263,424.9647647,1.220889145
14.061515,52.40050999,60.55400085,322.7306807,347.3553913,432.5093498,438.9854641,469.6768285,1.218470018
14.06155167,52.40052834,60.54700089,358.7268669,386.1332356,481.8977091,501.2083148,495.1611519,1.214984941
14.06158667,52.40054833,60.56600189,393.2439996,425.4072386,521.3600906,519.6551239,506.4081874,1.202468682
14.06162167,52.40056833,60.57500076,429.328921,457.3285624,551.1727779,527.4778187,511.2517319,1.179677247
14.061655,52.40058832,60.54999924,463.7743207,484.4124359,566.9961884,518.488969,492.6560093,1.166222697
14.06169,52.40060835,60.55400085,496.0138115,498.3324414,572.0788547,484.2431884,442.2165991,1.156112697
14.06172333,52.40062834,60.56000137,510.073359,502.6796613,552.5224011,412.8028149,389.3862685,1.140764894
14.06175833,52.40064999,60.58000183,514.0434078,488.5558939,506.4226237,393.0332239,330.3890796,1.130739165
14.06179334,52.40066999,60.61399841,500.2729206,451.9389011,445.3287451,365.9405526,257.6296968,1.133742197
14.06183,52.40069167,60.66799927,468.8237845,404.0998619,371.5676852,317.863027,192.9241461,1.138830253
14.061865,52.40071335,60.72900009,427.1192382,344.1588557,286.7341763,279.8847367,159.480802,1.156643804
14.06190167,52.400735,60.80799866,379.5907958,276.3433282,210.6197712,298.2534525,143.8189488,1.182708845
14.06193833,52.40075833,60.9129982,327.3026601,218.43585,164.4777374,307.0676509,146.4056482,1.203681936
14.06197333,52.40078166,61.01599884,286.6982357,189.1923109,144.8969229,335.839761,166.0495548,1.227238183
14.06200833,52.400805,61.13299942,269.7343574,178.9481777,149.05982,391.6373733,184.4860062,1.243788233
14.06204333,52.40082833,61.24599838,271.8149967,192.1508724,175.679463,432.7407722,192.6085061,1.242188435
14.06207833,52.40085001,61.34299851,295.4557014,224.5513865,199.1586783,428.3919281,191.8882546,1.228278501
14.06211333,52.40087334,61.47200012,335.9548247,250.5658689,214.912327,402.281194,181.0300622,1.20850586
14.06215,52.40089499,61.57600021,369.6507301,265.6204664,223.5149434,359.2306692,157.7268441,1.183903257
14.062185,52.40091667,61.68700028,393.2638101,274.7726059,218.6655465,288.869099,136.9722489,1.16960077
14.06222,52.40094001,61.76499939,409.5537035,267.1888717,198.8475659,229.9835489,122.5599018,1.154666111
14.062255,52.40096165,61.9109993,406.2214735,246.0551509,185.3376237,197.627903,116.8229412,1.142730874
14.06229167,52.40098333,62.04399872,387.678763,231.9558367,177.6196953,189.4660816,118.2647161,1.150852133
14.06232667,52.40100667,62.18500137,373.6929468,224.5082237,175.2906556,190.6409298,121.9775154,1.157185795
14.06236333,52.40102666,62.32400131,363.2000207,220.96877,186.0589115,187.9842328,122.2335559,1.151579437
14.06239833,52.40104834,62.45899963,352.1776744,229.7688466,196.9477275,182.8810601,120.9157314,1.150582645
14.06243333,52.40106999,62.57799912,351.433999,235.9413682,196.6711473,176.7186429,115.4293277,1.147739334
14.06246833,52.40109167,62.71099854,351.9436914,233.2089463,190.4700053,170.6793982,103.4910654,1.132814583
14.062505,52.40111332,62.83800125,343.8369419,223.8231939,174.10514,155.8060767,94.28797773,1.124492034
14.06254167,52.401135,62.9469986,327.6674456,204.9161923,144.5637848,168.0610174,87.15219153,1.125483452
14.06257833,52.40115668,63.0699997,304.0819595,173.7871788,116.0356868,174.9511739,80.15897504,1.139147676
14.062615,52.40117833,63.19100189,269.6223371,144.9292832,95.4497717,172.0762158,73.55184768,1.161704881
14.06265167,52.40120001,63.28499985,232.9424983,120.4554754,78.40496278,159.5335902,69.61909231,1.18473484
14.06268834,52.40122166,63.41799927,198.9443139,99.73657556,67.81581399,145.5074862,65.78924402,1.205406891
14.062725,52.40124334,63.5359993,169.7885711,85.57167137,63.5799887,120.6246018,62.77834131,1.225963821
14.06276167,52.40126499,63.67399979,146.6039272,77.45745828,61.36608457,105.221486,60.65749339,1.244734899
14.06279833,52.40128667,63.8199997,130.4262404,72.40814996,59.70887503,96.50566338,59.91828812,1.264752725
14.06283333,52.40130835,63.95899963,119.5375345,70.19354115,59.08007786,95.45732165,60.03621057,1.284416045
14.06287,52.40132999,64.08599854,112.9706852,69.17372751,58.7229438,98.20469739,59.67571307,1.295509997
14.06290667,52.40135333,64.21499634,108.722655,68.80223354,58.23970751,97.26752591,59.85501799,1.309549847
14.06294333,52.40137501,64.34100342,106.3390009,68.64913064,58.04250271,95.70527536,61.11837702,1.31347579
14.06297834,52.40139666,64.46499634,105.3043216,68.41393808,58.21899621,96.27691818,61.88745404,1.303780307
14.063015,52.40141834,64.58200073,105.1480577,68.48045698,58.50011796,92.6287055,64.88472057,1.299813585
14.06305,52.40143999,64.71099854,106.9912364,68.7639407,59.71239465,103.2410893,69.20009386,1.304547342
14.063085,52.40146001,64.83000183,110.4474237,69.51070252,61.97364355,115.1572552,73.52569774,1.303333603
14.06312167,52.40148166,64.9509964,116.3751443,71.63127005,64.98440677,126.1118258,78.81863556,1.301432184
14.06315833,52.40150334,65.0530014,124.2411541,74.75383249,68.54186081,137.2295021,86.56914752,1.29891548
14.063195,52.40152499,65.15399933,133.6562655,77.37834134,75.24152129,151.6803289,90.7242825,1.289545021
14.06323333,52.40154667,65.25700378,142.0365672,83.05493122,83.15917663,146.8751046,93.0432294,1.279289882
14.06327,52.40156835,65.36000061,152.1610659,89.96267989,89.50264714,147.1738417,95.41310955,1.262477047
14.06330667,52.40159,65.45899963,159.2152071,95.15235359,95.12704584,150.0620126,92.61705449,1.2424041
14.06334333,52.40161168,65.56500244,161.7065633,98.8031389,99.81455218,142.1290455,84.45885241,1.234375017
14.06337833,52.40163501,65.65000153,160.4331339,101.713693,97.54189521,125.5956843,78.28456631,1.24253198
14.063415,52.40165501,65.77999878,156.1002277,97.57155999,92.02050138,122.084333,74.56117851,1.259312846
14.06345,52.40167666,65.90299988,146.1583823,90.55185806,87.64958133,107.072637,70.19673399,1.267262753
14.06348333,52.40169668,66.02899933,136.4256638,85.40263377,84.76912259,84.01908057,68.6083078,1.271414293
14.06351667,52.40171668,66.14099884,129.8734305,82.09970387,81.47469761,69.77093686,69.49709058,1.272906338
14.06354667,52.40173499,66.22399902,124.6726956,78.40968723,81.92732159,61.06123125,67.40230086,1.255344274
14.06357833,52.40175333,66.26699829,120.2566189,77.61242947,82.53602988,45.68281239,63.66748169,1.219937608
